,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:41,,,
Нержавейка,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД,,,,,,,,
х/к н/с   AISI 201   2B (матовый),2 ,т,175930,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.5 ,т,290000
,,,,,,,,
х/к н/с   AISI 201   2B (матовый),2 ,т,189660,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.6 ,т,270400
х/к н/с   AISI 201   2B (матовый),2 ,т,221170,,,,,
,,,,,,,,
х/к н/с   AISI 201   2B (матовый),2.5 ,т,207080,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.6 ,т,273780
,,,,,,,,
х/к н/с   AISI 201   2B (матовый),3 ,т,180950,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД (продолжение),,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),3 ,т,262960
Марка,толщина,Ед.изм,Цена,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.7 ,т,272660,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),3 ,т,265100
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.7 ,т,272950,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),4 ,т,0
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.7 ,т,283520,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),4 ,т,260210
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.8 ,т,262960,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),4 ,т,262960
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.8 ,т,271000,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),4 ,т,275000
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),0.8 ,т,288000,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),4 ,т,288490
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1 ,т,265120,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),5 ,т,0
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1 ,т,278000,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),5 ,т,288930
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1 ,т,290000,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),6 ,т,294330
